time,GPS_lat,GPS_long,accelx,accely,accelz
1552636967.519623,0,0,0.003980,0.006437,0.100842
1552636967.537427,0,0,0.003931,0.006536,0.100917
1552636967.555416,0,0,0.003931,0.006536,0.100743
1552636967.586367,0,0,0.003906,0.006536,0.100867
1552636967.604385,0,0,0.003881,0.006462,0.101090
1552636967.641613,0,0,0.004030,0.012651,0.100917
1552636967.677634,0,0,0.004079,0.006586,0.100941
1552636967.695458,0,0,0.003980,0.006586,0.101016
1552636967.712655,0,0,0.004055,0.006610,0.100917
1552636967.729929,0,0,0.003980,0.006511,0.100867
1552636967.747542,0,0,0.004005,0.006412,0.100941
1552636967.764787,0,0,0.004005,0.006388,0.100767
1552636967.782618,0,0,0.003980,0.006511,0.100991
1552636967.819493,0,0,0.004055,0.006412,0.100792
1552636967.837555,0,0,0.003980,0.006412,0.100941
1552636967.855520,0,0,0.004005,0.006561,0.100767
1552636967.873941,0,0,0.004055,0.006586,0.100966
1552636967.891823,0,0,0.003906,0.006536,0.100917
1552636967.909729,0,0,0.004030,0.006536,0.100792
1552636967.927920,0,0,0.003931,0.006462,0.100817
1552636967.949162,0,0,0.004030,0.006388,0.100842
1552636967.985314,0,0,0.003980,0.006412,0.101041
1552636968.020894,0,0,0.004055,0.006610,0.101041
1552636968.039090,0,0,0.004153,0.006586,0.100892
1552636968.056960,0,0,0.003832,0.006561,0.100569
1552636968.074782,0,0,0.003931,0.006536,0.100792
1552636968.092977,0,0,0.003881,0.006462,0.100892
1552636968.110937,0,0,0.004153,0.006660,0.100892
1552636968.129866,0,0,0.003931,0.006388,0.101016
1552636968.185194,0,0,0.003980,0.006685,0.100693
1552636968.221737,0,0,0.003906,0.006412,0.100743
1552636968.241539,0,0,0.004055,0.006363,0.101140
1552636968.259964,0,0,0.003956,0.006536,0.101016
1552636968.278822,0,0,0.003980,0.006635,0.100842
1552636968.298456,0,0,0.004030,0.006511,0.100991
1552636968.316598,0,0,0.004055,0.006511,0.100817
1552636968.337011,0,0,0.003931,0.006536,0.100842
1552636968.390222,0,0,0.003881,0.006487,0.100792
1552636968.426764,0,0,0.003931,0.006487,0.100941
1552636968.446470,0,0,0.004030,0.006511,0.100867
1552636968.464913,0,0,0.004129,0.006561,0.100917
1552636968.484443,0,0,0.004079,0.006462,0.100743
1552636968.503977,0,0,0.003906,0.006437,0.101115
1552636968.521641,0,0,0.003980,0.006511,0.100643
1552636968.539086,0,0,0.004104,0.006487,0.100718
1552636968.583369,0,0,0.004178,0.006511,0.100941
1552636968.600763,0,0,0.004005,0.006511,0.100718
1552636968.618062,0,0,0.003980,0.006511,0.100718
1552636968.635551,0,0,0.004030,0.006586,0.100643
1552636968.654664,0,0,0.003807,0.006462,0.100842
1552636968.673206,0,0,0.003980,0.006462,0.100892
1552636968.691921,0,0,0.003956,0.006388,0.100718
1552636968.743546,0,0,0.003931,0.006437,0.100966
1552636968.778466,0,0,0.004104,0.006313,0.100817
1552636968.796239,0,0,0.004104,0.006685,0.101115
1552636968.813607,0,0,0.003906,0.006883,0.100917
1552636968.830968,0,0,0.004030,0.006858,0.100817
1552636968.848266,0,0,0.003980,0.006709,0.100767
1552636968.865558,0,0,0.004153,0.006462,0.100941
1552636968.883421,0,0,0.004005,0.006363,0.100892
1552636968.919786,0,0,0.004203,0.006660,0.101090
1552636968.937262,0,0,0.003956,0.006239,0.101016
1552636968.954652,0,0,0.003931,0.006536,0.100469
1552636968.972032,0,0,0.003783,0.006759,0.100519
1552636968.989413,0,0,0.003807,0.006709,0.100817
1552636969.006754,0,0,0.003906,0.006412,0.101041
1552636969.024032,0,0,0.004030,0.006586,0.100867
1552636969.041816,0,0,0.004302,0.006685,0.100917
1552636969.059500,0,0,0.004153,0.000223,0.101115
1552636969.103389,0,0,0.004079,0.006487,0.100718
1552636969.120960,0,0,0.003980,0.000223,0.100842
1552636969.138252,0,0,0.003980,0.000025,0.100991
1552636969.155548,0,0,0.004055,0.012651,0.100842
1552636969.172813,0,0,0.003881,0.006437,0.100941
1552636969.190078,0,0,0.004104,0.006487,0.100892
1552636969.207850,0,0,0.004005,0.006536,0.100941
1552636969.264713,0,0,0.003931,0.006685,0.100792
1552636969.300555,0,0,0.004055,0.006487,0.101066
1552636969.319645,0,0,0.004055,0.006462,0.101041
1552636969.337687,0,0,0.004153,0.006685,0.100966
1552636969.355645,0,0,0.004153,0.006487,0.100917
1552636969.373652,0,0,0.004030,0.006586,0.100892
1552636969.391656,0,0,0.003881,0.006511,0.100817
1552636969.410533,0,0,0.004030,0.006437,0.100941
1552636969.451829,0,0,0.003956,0.006610,0.101041
1552636969.469947,0,0,0.004079,0.006660,0.100767
1552636969.487987,0,0,0.003881,0.006462,0.100817
1552636969.506021,0,0,0.004055,0.006536,0.100917
1552636969.524041,0,0,0.004079,0.006610,0.100842
1552636969.541993,0,0,0.004030,0.006511,0.100767
1552636969.563392,0,0,0.004005,0.006511,0.100991
1552636969.599442,0,0,0.003980,0.006561,0.100792
1552636969.617676,0,0,0.004030,0.006536,0.101090
1552636969.646124,0,0,0.004030,0.006610,0.100867
1552636969.664729,0,0,0.004252,0.006412,0.100743
1552636969.682676,0,0,0.004104,0.006412,0.100867
1552636969.700611,0,0,0.004030,0.006561,0.101041
1552636969.718696,0,0,0.004030,0.006437,0.100817
1552636969.739617,0,0,0.004055,0.006610,0.100892
1552636969.784153,0,0,0.003980,0.006586,0.100867
1552636969.804133,0,0,0.004055,0.006635,0.100966
1552636969.824324,0,0,0.004030,0.006536,0.100792
